video_id,clase,Desplazamiento_mean,Desplazamiento_max,Desplazamiento_min,Desplazamiento_std,Desplazamiento_median,Velocidad_mean,Velocidad_max,Velocidad_min,Velocidad_std,Velocidad_median,Aceleracion_mean,Aceleracion_max,Aceleracion_min,Aceleracion_std,Aceleracion_median,Direccion_mean,Direccion_max,Direccion_min,Direccion_std,Direccion_median,Densidad_mean,Densidad_max,Densidad_min,Densidad_std,Densidad_median,Linealidad_mean,Linealidad_max,Linealidad_min,Linealidad_std,Linealidad_median,Circularidad_mean,Circularidad_max,Circularidad_min,Circularidad_std,Circularidad_median,Zigzag_mean,Zigzag_max,Zigzag_min,Zigzag_std,Zigzag_median,Frecuencia_Ciclo_mean,Frecuencia_Ciclo_max,Frecuencia_Ciclo_min,Frecuencia_Ciclo_std,Frecuencia_Ciclo_median,Amplitud_Ciclo_mean,Amplitud_Ciclo_max,Amplitud_Ciclo_min,Amplitud_Ciclo_std,Amplitud_Ciclo_median,Area_Trayectoria_mean,Area_Trayectoria_max,Area_Trayectoria_min,Area_Trayectoria_std,Area_Trayectoria_median,duracion_video,frames_unicos,objetos_unicos,porcentaje_interaccion,total_interacciones,porcentaje_ciclico,total_ciclico,postura_Neutral_freq,postura_Vertical_freq,postura_Horizontal_freq,patron_Zigzag_freq,patron_Mixto_freq,patron_Indeterminado_freq,patron_Lineal_freq,patron_Circular_freq,rango_x,rango_y,centro_x,centro_y,variabilidad_x,variabilidad_y,cambios_velocidad_mean,cambios_velocidad_max,velocidad_cero_freq,cambios_direccion_mean,cambios_direccion_max
normal_10_procesado,normal,45.21321132780783,446.8131600568631,0.0,76.90323598654831,2.23606797749979,1130.3302831951958,11170.329001421578,0.0,1922.5808996637077,55.90169943749474,183.31198774035897,267807.199251103,-245961.9815106676,41626.48067402882,0.0,6.855662824821293,180.0,-178.36342295838327,87.18077316856888,0.0,0.0037091410018874347,0.0111165198599084,0.0008823582970653,0.0019134018407975938,0.0035554450453238,0.038831895250527305,0.999999000001,0.0,0.14068463064872497,0.0031720889211912,0.26625025843813477,0.7807391307036818,-1.5048084966677395,0.47467595628781434,0.466565761484582,0.5734059168631962,0.8,0.0,0.13991546387463175,0.6531668063255539,0.3570354985117727,0.5,0.0,0.22033884313302046,0.5,35.507559909401124,68.06612798451759,0.0,25.38185253035737,51.47542109179779,19749.850908025775,33503.5,0.0,14839.895514694477,30242.0,1707,1128,63,0.03456356180433509,59,0.7615700058582309,1300,0.5916813122437024,0.37199765670767426,0.03632103104862332,0.7428236672524897,0.19273579379027533,0.042765084944346804,0.011716461628588167,0.00995899238429994,436,262,407.9361452841242,186.0398359695372,66.19614553260602,71.12925708905635,728.8549954426634,11170.329001421578,0.22202694786174576,105.1028648536514,353.7965520983082
normal_12_procesado,normal,29.27080506839908,316.796464626738,0.0,69.95688794415796,1.4142135623730951,731.7701267099771,7919.911615668449,0.0,1748.9221986039488,35.35533905932738,12.627802008375177,181961.6660657344,-196600.24790577384,38242.79530979979,0.0,11.22249088520714,180.0,-176.82016988013575,97.63361196001364,0.0,0.002347621977790671,0.0085571211220985,0.0003671833956954,0.001410356719982262,0.0016199762345722,0.027558087050362196,0.1231120341949963,0.0,0.024751624447414116,0.0242203237226429,-0.007539967493912639,0.6892440968342401,-0.5495389395054271,0.5829741905517132,-0.5495389395054271,0.5121181048345553,0.5814065445047194,0.0,0.07261770723848106,0.5026964161246334,0.42758832565284177,0.5,0.0,0.15272514510616747,0.5,48.156072250517596,92.09967137537691,0.0,31.10896305262779,23.47789760383773,40654.18279569892,89112.5,0.0,31555.57702676099,19943.0,930,748,12,0.03118279569892473,29,0.9903225806451613,921,0.27419354838709675,0.6483870967741936,0.07741935483870968,0.9311827956989247,0.05913978494623656,0.00967741935483871,0.0,0.0,500,313,273.4150537634409,215.74516129032259,72.22563459034285,71.87567458924919,518.0323013659461,7864.009916230953,0.17419354838709677,105.94194081759278,355.6012946450045
normal_13_procesado,normal,171.36568051322178,512.3992583913447,0.0,108.49920324199081,149.12075643584967,4284.142012830544,12809.981459783618,0.0,2712.4800810497704,3728.018910896242,0.33465071475213076,297809.7127361698,-289449.7289256519,86949.0976756221,0.0,-30.906837712747723,180.0,-179.83905722242162,107.52199852281139,0.0,0.014322915255210494,0.0267343667793881,0.0083108336393107,0.0024477897768091926,0.01392031560333,0.0027829074695699435,0.999999987083596,0.0,0.035486206440052286,1.2794765353376292e-05,0.42786843627832727,1.0,-0.7216855106049009,0.08379583429366491,0.4343238061420527,0.6664221597087541,0.7088847264491028,0.0,0.02235463608943372,0.668163568317189,0.0007497463481748063,0.5,0.0,0.016257485158386396,0.0,0.013801286375499659,7.210217755076081,0.0,0.2440444990823165,0.0,92335.17117112121,93259.5,0.0,9231.755924647558,93259.5,90170,9994,36,0.00043251635799046245,39,0.008328712432072751,751,0.3310857269601863,0.06947987135410891,0.5994344016857048,0.9985028279915715,0.0,0.0006099589663968061,0.0006986802705999778,0.00018853277143174004,520,249,334.5576910280581,113.49126095153599,127.99517539167866,58.862012381582154,2692.7376039165506,11912.388509446791,0.017289564156593103,147.72091609083188,359.33380002981687
normal_14_procesado,normal,102.3160458430258,418.3897704294406,0.0,76.47215822960709,98.8382517044894,2557.9011460756446,10459.744260736015,0.0,1911.8039557401773,2470.956292612235,9.526619651145111,224614.49873213243,-261493.6065184004,55816.11882410667,0.0,18.291204921628406,180.0,-179.51853419416165,106.00369073878743,0.0,0.007586561130627398,0.0147670876050484,0.0033439233814404,0.0017053929687991904,0.007584665666177,0.0129346915805992,0.9999999840382626,0.0,0.08471459259382683,0.0001622521038914,0.42763547901610965,1.0,-1.5695006184402018,0.22284896368353266,0.4716289320857906,0.6616732457094513,0.7646157124686098,0.0,0.05917398595838036,0.678120448333996,0.008496753290248004,0.5,0.0,0.06258305365437213,0.0,0.3508829260152382,18.959082771136345,0.0,2.4637616245879483,0.0,62836.37263721248,71329.0,0.0,23035.238387791225,71329.0,8782,1739,46,0.0,0,0.03939877021179686,346,0.6637440218629014,0.1741061261671601,0.1621498519699385,0.9782509678888636,0.004099294010475973,0.003985424732407197,0.004099294010475973,0.009565019357777272,533,223,280.5120701434753,132.04531997267136,124.95124489128592,53.00817843770481,1644.89530351348,10459.744260736015,0.13322705534046914,142.07355806578514,357.91743472026917
normal_15_procesado,normal,64.17706726868163,362.1380952067871,0.0,87.44231290754958,10.04987562112089,1604.4266817170405,9053.452380169678,0.0,2186.057822688739,251.24689052802225,17.391800182203973,167947.11560247742,-169539.8433568042,52146.14659763721,0.0,32.418954441531575,180.0,-177.6140559696112,97.73394938054764,0.0,0.003323547603012982,0.0072350520035044,0.0012381968908689,0.0013300241390437624,0.0031342225057945,0.020873199442381273,0.791447187241745,0.0,0.08563509091519558,0.0008949763244945,0.4359930093454293,0.6735878158456006,-0.0072487136086676,0.14278069740961813,0.4318213305971542,0.6474632068768539,0.723588051430074,0.0,0.1258297908023367,0.6884265004372603,0.05814622913068509,0.5,0.0,0.15730693372347787,0.0,4.441065245808486,39.33529063275416,0.0,12.395150233484951,0.0,32944.9067357513,43362.0,0.0,17693.82031849777,43362.0,965,527,26,0.10155440414507771,98,0.15129533678756477,146,0.22901554404145077,0.46113989637305697,0.30984455958549223,0.9647668393782384,0.0051813471502590676,0.03005181347150259,0.0,0.0,400,249,318.53471502590673,134.46735751295336,67.69799673916877,54.69743466264134,1015.7008493370242,6781.593734272168,0.13264248704663212,133.7840536911702,357.5104470780009
normal_16_procesado,normal,60.45671299206853,296.8636050444716,0.0,66.96449827281847,11.721674414891837,1511.417824801713,7421.590126111789,0.0,1674.1124568204618,293.04186037229596,593.0637228146593,184142.2106668573,-176029.0138943919,40385.819068127974,0.0,21.348014524920394,180.0,-177.8590986336769,101.52643417616954,0.0,0.0035757899051831717,0.0091572259406488,0.0018502518134688,0.0014960645488923776,0.0035199701416272,0.013426495611045258,0.1365440245508468,0.0,0.03581597779661697,0.0008941742339423,0.2710717002158945,0.8954387698247701,-0.612326229962407,0.5467096639186024,0.6361918047795925,0.66932830126173,0.7353621720464022,0.0,0.09068807936444882,0.6954923101203732,0.1331877729257642,0.5,0.0,0.22127315046101226,0.0,4.908314425989472,18.426295140189985,0.0,8.154488753988554,0.0,9425.35480349345,26807.5,0.0,5380.428921042084,6865.5,458,284,11,0.03056768558951965,14,0.2663755458515284,122,0.8187772925764192,0.16593886462882096,0.015283842794759825,0.9716157205240175,0.0,0.015283842794759825,0.0,0.013100436681222707,365,180,369.48471615720524,210.6877729257642,62.56512393554609,23.35335789575892,896.916328709239,7421.590126111789,0.06986899563318777,138.068163563902,355.13278763977064
normal_18_procesado,normal,87.10850779211495,238.29603437741048,0.0,63.8619760173448,130.04999038831184,2177.712694802873,5957.400859435262,0.0,1596.5494004336201,3251.249759707796,45.22860540681007,148935.02148588153,-148935.02148588153,55261.2486253428,0.0,38.56985239874732,180.0,-176.42366562500266,95.57721784115392,0.0,0.006593908552515823,0.0112905668891385,0.0018276898899868,0.0017113705979998385,0.006976892666528,0.007683452450897716,0.6213670227960039,0.0,0.044858122298935856,0.001182453064631,0.6967266318333821,0.8814381985538283,0.0,0.09306615401946758,0.7082998272129508,0.702001457962712,0.9166666666666666,0.0,0.09383075759143478,0.7149378793594259,0.0015671091445427728,0.5,0.0,0.027400481179400922,0.0,0.047540744626680106,83.50417654225446,0.0,1.963989761263336,0.0,18844.413993362832,43600.5,0.0,5053.616861559643,20327.5,1808,675,21,0.0,0,0.00331858407079646,6,0.45464601769911506,0.00331858407079646,0.5420353982300885,0.04701327433628318,0.0,0.016039823008849558,0.0,0.9369469026548672,422,148,469.6592920353982,223.19579646017698,70.61036812163046,26.961559140890685,1537.2743481873129,5957.400859435262,0.1620575221238938,136.8981293389758,347.4711922908485
normal_19_procesado,normal,34.37125809900684,279.3027031734566,0.0,38.77504680958169,23.43074902771996,859.281452475171,6982.567579336415,0.0,969.3761702395421,585.768725692999,66.1317537596335,162888.225925742,-169690.6306636035,25668.953258351317,0.0,15.163858481791916,180.0,-178.66778014613035,100.11249991576332,0.0,0.004288784425217273,0.0080589094876435,0.0013774758941366,0.0015335414757942326,0.0042354784037837,0.024282291979643555,0.3408938230003464,0.0,0.06812136016746842,0.0022394315428409,0.30063246696637813,0.7385445146216716,0.0,0.2560466601483846,0.0739917287118866,0.6499296917092332,0.7102161735331035,0.0,0.1513321109997534,0.6837570510441209,0.002426388615646927,0.0434782608695652,0.0,0.009987905708193594,0.0,0.1271628290097013,2.2786204225251883,0.0,0.5234488562737543,0.0,23761.399698340876,42915.0,0.0,19043.387071995276,7092.0,663,271,27,0.09803921568627451,65,0.0693815987933635,46,0.4177978883861237,0.21116138763197587,0.37104072398190047,0.9396681749622926,0.0,0.04675716440422323,0.0,0.013574660633484163,358,310,300.6561085972851,173.8838612368024,55.91188029071977,24.443845793019584,526.476667584039,6787.62522654414,0.07541478129713423,135.59958820956015,354.8055710922652
normal_1_procesado,normal,49.57549138919208,438.45638323555056,0.0,113.23327142316766,1.0,1239.3872847298019,10961.409580888763,0.0,2830.8317855791915,25.0,-3.051821675524706,273308.00505107787,-273331.5866305978,64542.79062420876,0.0,11.117852436602195,180.0,-179.70767713077146,94.30916454812301,0.0,0.004868365534917053,0.0102155714136397,0.001613205991074,0.0012566299130457414,0.0043411547152737,0.006732433836477992,0.0105713389917506,0.0033200736984579,0.0036206694237218037,0.0033200736984579,0.1222950483544023,0.3235817056591279,-0.104152441113414,0.2135743051814121,0.3235817056591279,0.5634568560019976,0.6104246458080977,0.5217077095076862,0.044297744688267485,0.5217077095076862,0.5,0.5,0.5,0.0,0.5,24.607751025410046,30.83884390752695,17.59777153302853,6.6114731628946215,30.83884390752695,40848.382352941175,42554.5,38929.0,1810.2684793294509,42554.5,1377,630,2,0.007262164124909223,10,1.0,1377,0.8976034858387799,0.0718954248366013,0.030501089324618737,1.0,0.0,0.0,0.0,0.0,449,176,443.1466957153232,197.08932461873638,130.06270951578819,26.415040601237777,850.7188740354093,10933.263465223912,0.29484386347131447,96.93870200492316,359.18926478073763
normal_20_procesado,normal,166.2896157298014,390.0461511154802,0.0,145.09902053086273,132.5481044753187,4157.240393245034,9751.153777887004,0.0,3627.4755132715686,3313.702611882967,131.29701364656884,242280.4770906032,-242894.9609706919,105996.37282923624,0.0,-5.193926016803361,180.0,-179.80643391373678,99.00017681273823,0.0,0.004661472699808722,0.00599830094911,0.0014493408679747,0.0010791032972335545,0.0049054143915997,0.039097254999985634,0.3184841116826114,0.0,0.08232863034057783,1.7218027722923505e-05,0.5712743099843702,0.738512155387538,-0.181297528468594,0.34054248770591306,0.738512155387538,0.6691240811239946,0.945133481030929,0.0,0.1297767998139427,0.7124636995330788,0.050524934383202096,0.3333333333333333,0.0,0.11965391337919548,0.0,16.236042633003482,107.43864125327084,0.0,38.46609098382871,0.0,24534.43307086614,43600.5,0.0,12257.537208815316,30967.0,508,193,13,0.003937007874015748,2,0.1515748031496063,77,0.9960629921259843,0.0,0.003937007874015748,0.19291338582677164,0.0,0.027559055118110236,0.0,0.7795275590551181,410,131,286.494094488189,207.00393700787401,153.44657714026096,44.38872558238602,2804.807567917795,9715.798438827676,0.19881889763779528,127.07515426012576,345.8294697947257
normal_21_procesado,normal,73.79702411546307,189.52836199366047,0.0,43.13219594371434,70.21395872616783,1844.9256028865764,4738.209049841512,0.0,1078.3048985928585,1755.3489681541955,-13.217989401613643,117810.43863641492,-117332.8844333858,32960.46088306197,0.0,-6.904336029895221,180.0,-171.73282666448938,101.98849915439916,0.0,0.005952476032222699,0.0111309203442756,0.0033152635048021,0.0014660344997684746,0.0052370936750227,0.0011249538310947726,0.0011599627677471,0.0,0.00019865255976488452,0.0011599627677471,0.5144738911245879,1.0,0.0,0.0859122504880891,0.5055882238359337,0.6669032832147005,0.6752094019869425,0.0,0.058575399342394995,0.6752094019869425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16731.800804828974,17252.5,0.0,2954.623529857033,17252.5,497,155,4,0.0,0,0.0,0,0.4346076458752515,0.3158953722334004,0.24949698189134809,0.9698189134808853,0.0,0.006036217303822937,0.0,0.02414486921529175,146,165,351.9416498993964,200.19718309859155,43.78892986502361,45.76545825694771,975.9288564872103,4712.417545456597,0.08853118712273642,151.1079138457697,339.37646861667474
normal_22_procesado,normal,5.365911044691338,144.9310180741169,0.0,14.200700235947005,1.4142135623730951,134.14777611728343,3623.2754518529223,0.0,355.0175058986751,35.35533905932738,-413.31883089860514,60266.33595963835,-86937.54136204477,9091.252999011745,0.0,-0.35383952422903564,180.0,-177.87890360333856,92.60200243861232,0.0,0.00195797751212529,0.0070576963335643,0.0012572204773833,0.0010989000869239681,0.0015607629233095,0.37604196558555286,0.761666434097039,0.0,0.21591833806629446,0.2597202982391949,0.3811556532141811,0.8279621929263785,-0.3051992140348247,0.2872969347498629,0.4695357779853492,0.3612003357453617,0.6,0.0,0.11942482755919118,0.4244770562745876,0.008819444444444446,0.1,0.0,0.019561814813932245,0.0,13.582916677910209,42.26404830862028,0.0,19.73578305496347,0.0,2535.7555555555555,5824.0,0.0,1607.2250204902045,2306.0,315,284,21,0.012698412698412698,4,0.726984126984127,229,0.653968253968254,0.3396825396825397,0.006349206349206349,0.022222222222222223,0.8857142857142857,0.06349206349206349,0.0,0.02857142857142857,266,270,312.4,159.62222222222223,29.849921849058575,74.65308395565843,144.37062094624216,3623.2754518529223,0.23809523809523808,69.6622949000723,292.7509763427877
normal_24_procesado,normal,27.48040791283654,245.2835094334717,0.0,48.95764416968608,1.4142135623730951,687.0101978209136,6132.0877358367925,0.0,1223.9411042421518,35.35533905932738,17.599530030386674,152418.30991943664,-151904.65090998245,25389.27459083208,0.0,28.167599654902425,180.0,-177.75425743410491,88.80255190271563,0.0,0.002638821744641403,0.0076069057464404,0.0010341616939297,0.0013633857547665472,0.0025573101858282,0.05527081098468415,0.999999973882416,0.0,0.13072369045336263,0.0030221950514931,0.4788825370954224,0.894643197592547,-1.001215358334068,0.29701756774476124,0.6323508509594019,0.5546527499397621,0.9762462062078148,0.0,0.13803294775316768,0.6236715513448937,0.24513720557023821,0.5,0.0,0.22172277065696722,0.1666666666666666,43.39715885320206,65.79448039288575,0.0,27.99461989393201,63.06733581620585,18436.21169463996,31161.5,0.0,13539.952807051697,29342.0,1847,1154,66,0.04981050351922036,92,0.78938819707634,1458,0.5657823497563617,0.41851651326475364,0.01570113697888468,0.6935571196534922,0.1613427179209529,0.04439631835408771,0.008121277747698972,0.09258256632376827,412,257,220.09258256632376,190.13697888467786,54.444934601685176,72.36291386104178,398.0213912657834,6096.7323967774655,0.26204656199242016,101.85942704693093,345.9637565320735
normal_27_procesado,normal,126.60401914467235,480.9261897630446,0.0,93.66682006494979,111.80339887498948,3165.1004786168082,12023.154744076115,0.0,2341.670501623745,2795.084971874737,1.8922894103198087,287097.4632639092,-291376.71599666297,66300.88781738395,0.0,22.87983999133831,180.0,-179.83048635402292,105.26451775300522,0.0,0.01321451922285526,0.0295380207651313,0.0067956458274843,0.0034061703415200406,0.012856536344293,0.0033874493393022784,0.9999999687652488,0.0,0.04331311451395128,1.507867489402924e-05,-0.029075863284490914,1.0,-4.852274851681268,1.423589061306677,0.4208485467863926,0.6550266483529521,0.8333333333333334,0.0,0.05470500984522715,0.6729686842773277,0.014231250513453517,0.5,0.0,0.05965898733419367,0.0,0.5099437704887391,33.429099986358004,0.0,2.234511196959092,0.0,81940.48693326779,91203.5,0.0,26724.69136640573,91203.5,85446,9994,79,0.001673571612480397,143,0.05780258876951525,4939,0.32917866254710576,0.06840577674788756,0.6024155607050067,0.9957517028298575,0.0003393956416918288,0.0010298902230648597,0.0011937363949160874,0.0016852749104697704,529,241,299.38550663576996,117.39811108770452,126.4806849046368,60.22232460063822,1936.0475239454047,11655.068639866518,0.10893429768508765,138.07779122971667,359.3904934233248
normal_28_procesado,normal,114.30204882314105,381.66215426735727,0.0,73.72575729155355,113.50770898930168,2857.5512205785258,9541.553856683931,0.0,1843.1439322888384,2837.692724732542,18.873585004761,216351.1324213488,-216351.1324213488,60951.52880300214,0.0,-14.477303074699948,180.0,-179.6851911926109,110.97065492031814,0.0,0.006939476053589546,0.0146559961212656,0.0028027727060915,0.0019668551862654544,0.00665758148349295,0.004765239313505251,0.99999950000025,0.0,0.05592940485025034,0.0001360025744565,0.4991629892883379,1.0,0.0,0.05480691452584483,0.5000473948718046,0.6734434462016472,0.7274163823495665,0.0,0.05334569041475431,0.6795193102867767,0.000458365164247517,0.1428571428571428,0.0,0.008079564735421055,0.0,0.0013893455675686181,0.4330127018922193,0.0,0.024489879093384372,0.0,48125.980815508025,49353.0,0.0,7684.344257075623,49353.0,7480,1739,36,0.0006684491978609625,5,0.0032085561497326204,24,0.7909090909090909,0.08957219251336898,0.11951871657754011,0.9810160427807486,0.0030748663101604276,0.0053475935828877,0.002807486631016043,0.007754010695187166,503,210,322.6799465240642,119.77580213903744,97.69360308894548,32.11509299034857,1895.705146949271,8654.04529685395,0.07566844919786096,152.50348835309114,358.68308759420677
normal_2_procesado,normal,64.5007501686464,377.6903493604252,0.0,82.56141817041612,6.0,1612.51875421616,9442.25873401063,0.0,2064.0354542604027,150.0,-53.09334809960302,231210.5141201404,-195110.6199648677,49321.60706431197,0.0,-8.409976543154979,180.0,-174.0938588862295,96.15247776793144,0.0,0.0024126324897419484,0.0048398301443368,0.0004971844555217,0.0006559580656791146,0.0024375289665201,0.009949211915821298,0.6995866788582858,0.0,0.06157691520551434,0.0025380684782545,0.638570409777913,0.6765293691294403,0.0,0.10220476627134631,0.6765293691294403,0.6476317661909449,0.6797194037072621,0.0,0.05177734610409509,0.6334685327675051,0.1428164196123147,0.25,0.0,0.12375907000502373,0.25,51.36661834085611,89.91721414157844,0.0,44.51228319841726,89.91721414157844,31623.910775370583,47887.5,0.0,18823.92022273985,47887.5,1754,694,11,0.0034207525655644243,6,0.5712656784492588,1002,0.4549600912200684,0.17160775370581527,0.3734321550741163,0.9885974914481186,0.007411630558722919,0.003990877993158495,0.0,0.0,347,290,139.9897377423033,144.12884834663626,85.72546628983721,80.31979322938818,1027.1700521325422,9248.420564805616,0.15279361459521096,125.26056852566624,335.0096938886752
normal_30_procesado,normal,63.61987790725393,180.1887898843877,0.0,66.54036331992461,32.0,1590.496947681348,4504.719747109692,0.0,1663.5090829981152,800.0,126.55185690363386,111212.61513074362,-110479.18815238244,42249.11708287413,0.0,-5.213781295878023,180.0,-176.4785466230778,107.64087634147583,0.0,0.0030895198402582837,0.0067472253734678,0.0013015045009716,0.0015522386099007385,0.0031777434467368,0.011264721974778983,0.0332336254633471,0.0,0.013455412194465726,0.003234852430077,0.4429380348698786,0.9416839850008808,-0.076116385696044,0.33173655345855224,0.6433163562960678,0.6600366923894426,0.7338382031255801,0.0,0.1019358581643125,0.7024826160281327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13807.71052631579,16919.0,0.0,4848.3554782517085,16919.0,456,284,8,0.03070175438596491,14,0.0,0,0.8114035087719298,0.17543859649122806,0.013157894736842105,0.9605263157894737,0.0,0.017543859649122806,0.0,0.021929824561403508,347,162,272.71491228070175,212.49122807017545,61.80285811870387,22.371094227821477,1013.6917985881967,4448.504605229745,0.09429824561403509,144.060047971534,356.32176127800665
normal_32_procesado,normal,76.88764928273142,237.598400668018,0.0,67.28246190553084,124.32618388738553,1922.1912320682857,5939.960016700449,0.0,1682.0615476382711,3108.154597184638,110.92340639187447,148284.4605816806,-148284.4605816806,56659.373426302926,0.0,-31.31419097042104,180.0,-177.75425743410491,93.62791146875487,0.0,0.003994156800939425,0.0081413700487112,0.0009998195155655,0.001270834190806832,0.0035310521422788,0.01584758285068304,0.99999950000025,0.0,0.09561957125388261,0.0006210918820725,0.6662025740327565,1.0,-0.1065643835087093,0.12798771718458316,0.7001784646379288,0.6646628901979652,0.7421117085920385,0.0,0.09876712805239436,0.6844903739177496,0.008209338122113904,0.25,0.0,0.04158469370498058,0.0,0.022752448670049687,0.6109532624422993,0.0,0.11456861967899255,0.0,15677.432786044124,53427.0,0.0,5704.149917553676,17770.5,1949,673,28,0.0,0,0.03796818881477681,74,0.4155977424320164,0.004617752693689072,0.5797845048742946,0.0918419702411493,0.0,0.017444843509492047,0.009748589020010261,0.8809645972293484,456,149,172.52283222165212,225.18471010774758,87.19049759948534,27.8779378186983,1545.8109682159545,5931.378423267225,0.18984094407388405,129.23322932838124,345.9637565320735
